Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0805_2012Metric",-313.250000,40.912500,-90.000000,bottom
"C2","22p","C_0805_2012Metric",-296.650000,27.825000,-90.000000,bottom
"C3","22p","C_0805_2012Metric",-302.850000,27.825000,90.000000,bottom
"C4","10u","C_0805_2012Metric",-305.700000,34.362500,180.000000,bottom
"C5","0.1u","C_0805_2012Metric",-300.700000,46.462500,0.000000,bottom
"C6","0.1u","C_0805_2012Metric",-297.150000,36.112500,-90.000000,bottom
"C7","0.1u","C_0805_2012Metric",-310.350000,42.412500,-90.000000,bottom
"C8","10u","C_0805_2012Metric",-169.700000,12.250000,-90.000000,bottom
"C9","10u","CP_EIA-2012-15_AVX-P",-167.400000,16.247500,-90.000000,bottom
"C10","0.1u","C_0805_2012Metric",-157.050000,16.800000,180.000000,bottom
"D1","D_Small","D_0805_2012Metric",-17.462500,92.218750,90.000000,bottom
"D2","D_Small","D_0805_2012Metric",-22.225000,73.168750,90.000000,bottom
"D3","D_Small","D_0805_2012Metric",-24.606250,54.118750,90.000000,bottom
"D4","D_Small","D_0805_2012Metric",-23.018750,34.925000,90.000000,bottom
"D5","D_Small","D_0805_2012Metric",-19.843750,16.018750,90.000000,bottom
"D6","D_Small","D_0805_2012Metric",-168.131250,90.487500,180.000000,bottom
"D7","D_Small","D_0805_2012Metric",-179.387500,73.168750,90.000000,bottom
"D8","D_Small","D_0805_2012Metric",-184.150000,54.118750,90.000000,bottom
"D9","D_Small","D_0805_2012Metric",-174.625000,35.068750,90.000000,bottom
"D10","D_Small","D_0805_2012Metric",-36.512500,92.218750,90.000000,bottom
"D11","D_Small","D_0805_2012Metric",-46.037500,73.168750,90.000000,bottom
"D12","D_Small","D_0805_2012Metric",-50.800000,54.118750,90.000000,bottom
"D13","D_Small","D_0805_2012Metric",-41.275000,35.068750,90.000000,bottom
"D14","D_Small","D_0805_2012Metric",-43.656250,16.018750,90.000000,bottom
"D15","D_Small","D_0805_2012Metric",-188.912500,92.218750,90.000000,bottom
"D16","D_Small","D_0805_2012Metric",-198.437500,73.168750,90.000000,bottom
"D17","D_Small","D_0805_2012Metric",-203.200000,54.118750,90.000000,bottom
"D18","D_Small","D_0805_2012Metric",-193.675000,35.068750,90.000000,bottom
"D19","D_Small","D_0805_2012Metric",-55.562500,92.218750,90.000000,bottom
"D20","D_Small","D_0805_2012Metric",-65.087500,73.168750,90.000000,bottom
"D21","D_Small","D_0805_2012Metric",-69.850000,54.118750,90.000000,bottom
"D22","D_Small","D_0805_2012Metric",-60.325000,35.068750,90.000000,bottom
"D23","D_Small","D_0805_2012Metric",-67.468750,16.018750,90.000000,bottom
"D24","D_Small","D_0805_2012Metric",-207.962500,92.218750,90.000000,bottom
"D25","D_Small","D_0805_2012Metric",-217.487500,73.168750,90.000000,bottom
"D26","D_Small","D_0805_2012Metric",-222.250000,54.118750,90.000000,bottom
"D27","D_Small","D_0805_2012Metric",-212.725000,35.068750,90.000000,bottom
"D28","D_Small","D_0805_2012Metric",-74.612500,92.218750,90.000000,bottom
"D29","D_Small","D_0805_2012Metric",-84.137500,73.168750,90.000000,bottom
"D30","D_Small","D_0805_2012Metric",-88.900000,54.118750,90.000000,bottom
"D31","D_Small","D_0805_2012Metric",-79.375000,35.068750,90.000000,bottom
"D32","D_Small","D_0805_2012Metric",-138.906250,16.018750,90.000000,bottom
"D33","D_Small","D_0805_2012Metric",-227.012500,92.218750,90.000000,bottom
"D34","D_Small","D_0805_2012Metric",-236.537500,73.168750,90.000000,bottom
"D35","D_Small","D_0805_2012Metric",-241.300000,54.118750,90.000000,bottom
"D36","D_Small","D_0805_2012Metric",-231.775000,35.068750,90.000000,bottom
"D37","D_Small","D_0805_2012Metric",-93.662500,92.218750,90.000000,bottom
"D38","D_Small","D_0805_2012Metric",-103.187500,73.168750,90.000000,bottom
"D39","D_Small","D_0805_2012Metric",-107.950000,54.118750,90.000000,bottom
"D40","D_Small","D_0805_2012Metric",-98.425000,35.068750,90.000000,bottom
"D41","D_Small","D_0805_2012Metric",-210.343750,16.018750,90.000000,bottom
"D42","D_Small","D_0805_2012Metric",-246.062500,92.218750,90.000000,bottom
"D43","D_Small","D_0805_2012Metric",-255.587500,73.168750,90.000000,bottom
"D44","D_Small","D_0805_2012Metric",-260.100000,54.118750,90.000000,bottom
"D45","D_Small","D_0805_2012Metric",-267.493750,35.068750,90.000000,bottom
"D46","D_Small","D_0805_2012Metric",-112.712500,92.218750,90.000000,bottom
"D47","D_Small","D_0805_2012Metric",-122.237500,73.168750,90.000000,bottom
"D48","D_Small","D_0805_2012Metric",-127.000000,54.118750,90.000000,bottom
"D49","D_Small","D_0805_2012Metric",-117.475000,35.068750,90.000000,bottom
"D50","D_Small","D_0805_2012Metric",-234.156250,16.018750,90.000000,bottom
"D51","D_Small","D_0805_2012Metric",-274.637500,92.218750,90.000000,bottom
"D52","D_Small","D_0805_2012Metric",-284.812500,54.768750,180.000000,bottom
"D53","D_Small","D_0805_2012Metric",-312.737500,92.218750,90.000000,bottom
"D54","D_Small","D_0805_2012Metric",-312.737500,73.168750,90.000000,bottom
"D55","D_Small","D_0805_2012Metric",-131.762500,92.218750,90.000000,bottom
"D56","D_Small","D_0805_2012Metric",-141.287500,73.168750,90.000000,bottom
"D57","D_Small","D_0805_2012Metric",-146.050000,54.118750,90.000000,bottom
"D58","D_Small","D_0805_2012Metric",-136.525000,35.068750,90.000000,bottom
"D59","D_Small","D_0805_2012Metric",-257.968750,16.018750,90.000000,bottom
"D60","D_Small","D_0805_2012Metric",-312.737500,16.018750,90.000000,bottom
"D61","D_Small","D_0805_2012Metric",-331.787500,35.068750,90.000000,bottom
"D62","D_Small","D_0805_2012Metric",-331.787500,92.218750,90.000000,bottom
"D63","D_Small","D_0805_2012Metric",-331.787500,73.168750,90.000000,bottom
"D64","D_Small","D_0805_2012Metric",-150.812500,92.218750,90.000000,bottom
"D65","D_Small","D_0805_2012Metric",-160.337500,73.168750,90.000000,bottom
"D66","D_Small","D_0805_2012Metric",-165.100000,54.118750,90.000000,bottom
"D67","D_Small","D_0805_2012Metric",-155.575000,35.068750,90.000000,bottom
"D68","D_Small","D_0805_2012Metric",-281.781250,16.018750,90.000000,bottom
"D69","D_Small","D_0805_2012Metric",-350.837500,16.018750,90.000000,bottom
"D70","D_Small","D_0805_2012Metric",-331.787500,16.018750,90.000000,bottom
"D71","D_Small","D_0805_2012Metric",-350.837500,92.218750,90.000000,bottom
"D72","D_Small","D_0805_2012Metric",-350.837500,73.168750,90.000000,bottom
"D73","RGB_LED_6_Pin","Everlight 99-235",-1.587500,8.731250,90.000000,bottom
"D74","RGB_LED_6_Pin","Everlight 99-235",-1.587500,25.400000,90.000000,bottom
"D75","RGB_LED_6_Pin","Everlight 99-235",-1.587500,42.068750,90.000000,bottom
"D76","RGB_LED_6_Pin","Everlight 99-235",-1.587500,58.737500,90.000000,bottom
"D77","RGB_LED_6_Pin","Everlight 99-235",-1.587500,75.406250,90.000000,bottom
"D78","RGB_LED_6_Pin","Everlight 99-235",-1.587500,92.075000,90.000000,bottom
"D79","RGB_LED_6_Pin","Everlight 99-235",-10.318750,98.425000,0.000000,bottom
"D80","RGB_LED_6_Pin","Everlight 99-235",-30.162500,98.425000,0.000000,bottom
"D81","RGB_LED_6_Pin","Everlight 99-235",-50.006250,98.425000,0.000000,bottom
"D82","RGB_LED_6_Pin","Everlight 99-235",-69.850000,98.425000,0.000000,bottom
"D83","RGB_LED_6_Pin","Everlight 99-235",-89.693750,98.425000,0.000000,bottom
"D84","RGB_LED_6_Pin","Everlight 99-235",-109.537500,98.425000,0.000000,bottom
"D85","RGB_LED_6_Pin","Everlight 99-235",-129.381250,98.425000,0.000000,bottom
"D86","RGB_LED_6_Pin","Everlight 99-235",-149.225000,98.425000,0.000000,bottom
"D87","RGB_LED_6_Pin","Everlight 99-235",-163.550000,98.425000,0.000000,bottom
"D88","RGB_LED_6_Pin","Everlight 99-235",-184.150000,98.425000,0.000000,bottom
"D89","RGB_LED_6_Pin","Everlight 99-235",-203.993750,98.425000,0.000000,bottom
"D90","RGB_LED_6_Pin","Everlight 99-235",-224.631250,98.425000,0.000000,bottom
"D91","RGB_LED_6_Pin","Everlight 99-235",-245.268750,98.425000,0.000000,bottom
"D92","RGB_LED_6_Pin","Everlight 99-235",-266.700000,98.425000,0.000000,bottom
"D93","RGB_LED_6_Pin","Everlight 99-235",-287.337500,98.425000,0.000000,bottom
"D94","RGB_LED_6_Pin","Everlight 99-235",-307.975000,98.425000,0.000000,bottom
"D95","RGB_LED_6_Pin","Everlight 99-235",-327.818750,98.425000,0.000000,bottom
"D96","RGB_LED_6_Pin","Everlight 99-235",-347.662500,98.425000,0.000000,bottom
"D97","RGB_LED_6_Pin","Everlight 99-235",-355.600000,92.075000,-90.000000,bottom
"D98","RGB_LED_6_Pin","Everlight 99-235",-355.600000,75.406250,-90.000000,bottom
"D99","RGB_LED_6_Pin","Everlight 99-235",-355.600000,58.737500,-90.000000,bottom
"D100","RGB_LED_6_Pin","Everlight 99-235",-355.600000,42.068750,-90.000000,bottom
"D101","RGB_LED_6_Pin","Everlight 99-235",-355.600000,25.400000,-90.000000,bottom
"D102","RGB_LED_6_Pin","Everlight 99-235",-355.600000,8.731250,-90.000000,bottom
"D103","RGB_LED_6_Pin","Everlight 99-235",-347.662500,1.587500,180.000000,bottom
"D104","RGB_LED_6_Pin","Everlight 99-235",-327.818750,1.587500,180.000000,bottom
"D105","RGB_LED_6_Pin","Everlight 99-235",-307.975000,1.587500,180.000000,bottom
"D106","RGB_LED_6_Pin","Everlight 99-235",-288.131250,1.587500,180.000000,bottom
"D107","RGB_LED_6_Pin","Everlight 99-235",-268.287500,1.587500,180.000000,bottom
"D108","RGB_LED_6_Pin","Everlight 99-235",-248.443750,1.587500,180.000000,bottom
"D109","RGB_LED_6_Pin","Everlight 99-235",-227.806250,1.587500,180.000000,bottom
"D110","RGB_LED_6_Pin","Everlight 99-235",-207.962500,1.587500,180.000000,bottom
"D111","RGB_LED_6_Pin","Everlight 99-235",-188.118750,1.587500,180.000000,bottom
"D112","RGB_LED_6_Pin","Everlight 99-235",-168.275000,1.587500,180.000000,bottom
"D113","RGB_LED_6_Pin","Everlight 99-235",-148.431250,1.587500,180.000000,bottom
"D114","RGB_LED_6_Pin","Everlight 99-235",-128.587500,1.587500,180.000000,bottom
"D115","RGB_LED_6_Pin","Everlight 99-235",-108.743750,1.587500,180.000000,bottom
"D116","RGB_LED_6_Pin","Everlight 99-235",-89.693750,1.587500,180.000000,bottom
"D117","RGB_LED_6_Pin","Everlight 99-235",-70.643750,1.587500,180.000000,bottom
"D118","RGB_LED_6_Pin","Everlight 99-235",-50.800000,1.587500,180.000000,bottom
"D119","RGB_LED_6_Pin","Everlight 99-235",-31.750000,1.600000,180.000000,bottom
"D120","RGB_LED_6_Pin","Everlight 99-235",-11.906250,1.600000,180.000000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",-2.381250,97.631250,180.000000,bottom
"FID4","Fiducial","Fiducial_1mm_Mask2mm",-354.806250,2.381250,180.000000,bottom
"R1","10k","R_0805_2012Metric",-305.850000,27.775000,90.000000,bottom
"R2","10k","R_0805_2012Metric",-296.737500,46.462500,0.000000,bottom
"R3","5k1","R_0805_2012Metric",-180.975000,96.162500,90.000000,bottom
"R4","5k1","R_0805_2012Metric",-166.687500,96.162500,90.000000,bottom
"R5","22R","R_0805_2012Metric",-172.243750,89.018750,90.000000,bottom
"R6","22R","R_0805_2012Metric",-175.418750,89.018750,90.000000,bottom
"R7","20k","R_0805_2012Metric",-169.400000,16.212500,90.000000,bottom
"R8","100k","R_0805_2012Metric",-171.750000,10.412500,90.000000,bottom
"R9","100k","R_0805_2012Metric",-174.537500,10.400000,0.000000,bottom
"R10","2k","R_0805_2012Metric",-183.400000,12.487500,-90.000000,bottom
"R11","2k","R_0805_2012Metric",-181.400000,11.612500,-90.000000,bottom
"SW1","SW_Push","SKQG-1155865",-310.000000,25.325000,90.000000,bottom
"U1","ATmega32U4-A","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-303.212500,40.481250,180.000000,bottom
"U2","IS31FL3737","QFN-40-1EP_5x5mm_P0.4mm_EP3.8x3.8mm",-164.850000,11.400000,90.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12",-173.831250,101.236250,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-299.750000,27.825000,0.000000,bottom
